concessionaria;n_ai_ni;data_da_infracao;trecho;dispositivo_infringido;decisao;valor_da_penalidade;pagamento;data;status
RMO;AI/201/2016/COFER-URSP/GECOF/SUFER/ANTT;05/08/2016;Bauru - Corumbá;Contrato de Concessão, Cláusula 9ª, item 9.1, inciso IX c/c Resolução ANTT nº 1.431/2006;Advertência;0;0;;ARQUIVADO-ADVERTIDO
FCA;AI/336/URMG/2016;12/08/2016;Brasília a Roncador Novo. Roncador Novo a Pool e Ramal de Anápoles;Inciso XIV, Item 9.1, Cláusula Nona, Contrato de Concessão;Multa;260800;0;;EM TRÂMITE
FCA;AI/335/URMG/2016;17/08/2016;Belo Horizonte;Inciso XV, Item 9.1, Cláusula Nona, Contrato de Concessão;Advertência;0;0;;ARQUIVADO-ADVERTIDO
RMO;AI/209/2016/COFER/URSP;29/08/2016;Mairingue - Bauru;Art. 13, RTF;Multa;0;0;;EM TRÂMITE
RMP;NI/196/2016/COFER-URSP/GECOF/SUFER;07/09/2016;ZGM-ZPN;Inciso I, art. 4º, RTF;Multa;64640;63640;10/01/2020;ARQUIVADO-QUITADO
FCA;AI/015/2016/GEAFI;08/09/2016;N/A;Decreto 1.832/96, art.17, §1º c/c Cláusula 7ª, §1º, Contrato de Concessão;Multa;285400;0;;SUSPENSO
FCA;AI/016/2016/GEAFI;08/09/2016;N/A;Decreto 1.832/96, art.17, §1º c/c Cláusula 7ª, §1º, Contrato de Concessão;Multa;260800;0;;SUSPENSO
EFVM;AI/009/2016/GEAFI;09/09/2016;N/A;Art. 17º, §1º do Decreto nº 1832/1996 combinado com Cláusula 7ª, §1º co Contrato de Concessão;Advertência;0;0;;ARQUIVADO-ADVERTIDO
EFVM;AI/010/2016/GEAFI;09/09/2016;N/A;Art. 17º, §1º do Decreto nº 1832/1996 combinado com Cláusula 7ª, §1º co Contrato de Concessão;Multa;174700;180115,7;14/05/2018;ARQUIVADO-QUITADO
EFVM;AI/011/2016/GEAFI;09/09/2016;N/A;Art. 17º, §1º do Decreto nº 1832/1996 combinado com Cláusula 7ª, §1º co Contrato de Concessão;Multa;174700;180115,7;14/05/2018;ARQUIVADO-QUITADO
EFVM;AI/012/2016/GEAFI;09/09/2016;N/A;Art. 17º, §1º do Decreto nº 1832/1996 combinado com Cláusula 7ª, §1º co Contrato de Concessão;Multa;174700;180115,7;14/05/2018;ARQUIVADO-QUITADO
RMS;AI/018/2016/GEAFI;09/09/2016;N/A;Decreto 1.832/96, art.17, §1º c/c Cláusula 7ª, §1º, Contrato de Concessão;Multa;331400;0;;SUSPENSO
RMS;AI/020/2016/GEAFI;09/09/2016;N/A;Decreto 1.832/96, art.17, §1º c/c Cláusula 7ª, §1º, Contrato de Concessão;Multa;331400;0;;EM TRÂMITE
RMS;AI/017/2016/GEAFI;09/09/2016;N/A;Decreto 1.832/96, art.17, §1º c/c Cláusula 7ª, §1º, Contrato de Concessão;Multa;331400;0;;EM TRÂMITE
RMS;AI/019/2016/GEAFI;09/09/2016;N/A;Decreto 1.832/96, art.17, §1º c/c Cláusula 7ª, §1º, Contrato de Concessão;Multa;331400;0;;EM TRÂMITE
RMO;AI/212/URSP/2016;09/09/2016;Pátio de Iperó;Inciso I, Art. 4, RTF;Multa;50000;0;;SUSPENSO
MRS;AI/214/URSP/2016;19/09/2016;Perímetro urbano de Cubatão;Inciso I, Artigo 4º, RTF;Multa;0;0;;ARQUIVADO-QUITADO
FCA;AI/305/2016/COFER-URMG/GECOF/SUFER/ANTT;20/09/2016;Araguari - Roncador Novo - Pátio Ipameri;Inciso X, Cláusula Quarta, Contrato de Arrendamento;Multa;260800;0;;EM TRÂMITE
FCA;AI/304/URMG/2016;20/09/2016;Ibiá a Uberaba e Araguari a Roncador Novo;Inciso III, Clásula Quarta, Contrato de Arrendamento;Multa;260800;0;;EM TRÂMITE
RMO;AI/217/2016/COFER-URSP/GECOF/SUFER/ANTT;29/09/2016;Trecho- Mairinque - Bauru - Três Lagoas;Inciso I, Art. 4, RTF;Multa;50000;0;;EM TRÂMITE
RMS;AI/002/URRS/2016;29/09/2016;Rubião Junior - Paraguaçu Paulista - Presidente Epitácio;Inciso X, Cláusula Quarta, Contrato de Arrendamento;Cancelamento;0;0;;EM TRÂMITE
RMS;AI/001/2016/GECOF/SUFER/ANTT;05/10/2016;Cruz Alta - RS;Contrato de Concessão, Cláusula 9ª, item 9.1, inciso IX;Multa;268500;0;;EM TRÂMITE
FCA;AI/610/2016/COFER-URMG/GECOF/SUFER/ANTT;06/10/2016;São Francisco a Propriá;Inciso XIV, Item 9.1, Cláusula 9ª, Contrato de Concessão;Multa;260800;0;;EM TRÂMITE
MRS;AI/011/URMG/2016;07/10/2016;Linha Arará  - Japeri, Variante Japeri - Brisamar e Ramal de Mangaratiba Brisamar - Ponte de Guaíba;Inciso XIV, Item 9.1, Cláusula Nona, Contrato de Concessão.;Cancelamento;0;43697;;ARQUIVADO-CANCELADO
FCA;AI/264/2016/COFER-URRS/GECOF/SUFER/ANTT;24/10/2016;Lafaiete Bandeira - Miguel Burnier;Inciso XV, Item 9.1, Cláusula Nona, Contrato de Concessão.;Multa;260800;0;;EM TRÂMITE
FCA;AI/007/URMG/2016;04/11/2016;Eldorada a Ferrugem a Calafate a General Carneiro;Contrato de Concessão, de, Cláusula 9ª, item 9.1, inciso XIV;Multa;260800;0;;EM TRÂMITE
RMO;AI/226/2016/COFER/URSP;04/11/2016;Indubrasil / Ponta Porã;Item 9.1, Inciso XIV da Cláusula Nona do Contrato de Concessão;Multa;0;0;;EM TRÂMITE
RMS;AI/015/2016/URRS;11/11/2016;Cruz Alta- Marcelino Ramos;Inciso III, Cláusula Quarta, Contrato de Arrendamento;Multa;268500;0;;EM TRÂMITE
FCA;AI/002/2016/COFER-URMG/GECOF/SUFER/ANTT;16/11/2016;General Carneiro a Monte Azul;Inciso IV, Art. 54, RTF;Multa;50000;0;;EM TRÂMITE
RMP;AI/21/GPFER/2016;17/11/2016;Trecho Partinga;Cláusula Nona, intem 9.1, inciso IX e XIV, do Contrato de Concessão.;Advertência;0;0;;ARQUIVADO-ADVERTIDO
FTC;AI/001/GECOF/2017;22/11/2016;Malha da concessionária FTC;Inciso VIII, Item 9.1, da Cláusula Nona do Contrato de Concessão;Advertência;0;0;;ARQUIVADO-ADVERTIDO
FCA;AI/004/URMG/2016;24/11/2016;Visconde de Itaboraí a Vitória;Inciso X, Cláusula Quarta, Contrato de Arrendamento;Multa;260800;0;;EM TRÂMITE
FCA;AI/006/2016/COFER-URMG/GECOF/SUFER/ANTT;24/11/2016;Visconde de Itaboraí a Vitória;Inciso I, Art. 4, RTF;Multa;50000;0;;EM TRÂMITE
FCA;AI/003/URMG/2016;07/12/2016;Biagípolis a Evangelina;Inciso XIV, Item 9.1, Cláusula 9ª, Contrato de Concessão;Multa;260800;0;;EM TRÂMITE
VALE (EFC);AI/2593258/2016/COFIS/URMA;13/12/2016;Marabá - PA;Contrato de Concessão, Cláusula 9ª, item 9.1, inciso XXV;Multa;477900;0;;EM TRÂMITE
RMO;AI/230/2016/COFER/URSP;19/12/2016;Indubrasil - Corumbá;Inciso I, Art. 4, RTF;Multa;50000;0;;EM TRÂMITE
RMO;AI/230/2016/COFER/URSP;19/12/2016;Indubrasil - Corumbá;Inciso XIV, Item 9.1, da Cláusula Nona do Contrato de Concessão;Multa;323300;0;;EM TRÂMITE
MRS;NI/001/URMG/2017;06/01/2017;Variante de Paraopebas (FMD-FDM) e Linha Centro (FDM-FBS);Inciso XII, Cláusula Quarta, Contrato de Arrendamento;Multa;50000;43711;24/09/2019;ARQUIVADO-QUITADO
RMP;AI/239/2017/COFER-URSP/GECOF/SUFER/ANTT;12/01/2017;Araquara - Pradópolis;Inciso IV, Art. 54, RTF;Multa;50000;0;;EM TRÂMITE
FCA;AI/12/2017/COFER/URMG;03/02/2017;São Félix / Monte Azul;Contrato de Concessão, Cláusula 9ª, item 9.1, inciso IX c/c Resolução ANTT nº 2.748/2008, art. 4º e 5º;Multa;260800;0;;EM TRÂMITE
MRS;AI/002/GECOF/2017;06/02/2017;Malha da MRS;Inciso IX, Item 9.1, Cláusula Nona, Contrato de Concessão c/c Res. 1431/2006;Advertência;0;43735;;EM TRÂMITE
RMS;AI/11/2017/COFER/URRS;10/02/2017;Santa Maria - RS / Cruz Alta -RS / Santa Rosa - RS;Inciso XIV, Item 9.1, Cláusula Nona, Contrato de Concessão;Multa;268500;0;;EM TRÂMITE
FCA;AI/010/URMG/2017;13/02/2017;Ramal ferroviário de Imbetiba, em Macáe/RJ;Art. 3º, RTF, do anexo do Decreto 1.832/96.;Multa;50000;0;;EM TRÂMITE
RMO;AI/251/2017/COFERSP/GECOF/SUFER/ANTT;24/02/2017;Oficinas e Frota;Inciso VIII, Item 9.1, Cláusula Nona, Contrato de Concessão;Multa;323300;0;;EM TRÂMITE
RMO;AI/254/URSP/2017;02/03/2017;Bauru - Três Lagoas;Inciso  I, Art. 4, RTF;Multa;50000;0;;EM TRÂMITE
RMO;AI/255/2017/COFER-URSP/GECOF/SUFER/ANTT;02/03/2017;Três Lagoas - Indubrasil;Inciso IV, Artigo 54 RTF;Multa;50000;0;;EM TRÂMITE
RMO;AI/258/URSP/2017;06/03/2017;Pátio: Três Lagoas/MS;Inciso III, Cláusula Quarta, Contrato de Arrendamento;Multa;323300;0;;EM TRÂMITE
RMO;AI/257/2017/COFER-URSP/GECOF/SUFER/ANTT;06/03/2017;Três Lagoas/MG;Inciso X, Cláusula Quarta Contrato de Arrendamento;Multa;329391,4;0;;EM TRÂMITE
